0000,0000,checking,0,0
1111,1111,saving,200,200
2222,2222,lineOfCredit,1000,10002223,1163,checking,200.0
2223,9807,checking,200.0
2224,3630,checking,200.0
2225,2470,checking,200.0
2226,1039,checking,200.0
2227,3698,checking,200.0
2228,7619,checking,200.0
2229,6325,checking,200.0
2230,2452,checking,200.0
2231,5728,saving,200.0
2232,7444,saving,200.0
2233,7638,saving,200.0
2234,3913,saving,200.0
2235,5880,checking,200.0
2236,4934,checking,200.0
2237,8620,checking,200.0
2238,5537,checking,200.0
2239,1951,checking,200.0
2240,6504,checking,200.0
2241,3249,checking,200.0
2242,5675,checking,200.0
2243,9423,checking,200.0
2244,4554,checking,300.0
2245,8045,saving,200.0
2246,4760,checking,300.0
2247,7940,checking,300.0
